"Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"PITPNC1","MGST1","VWF","HLA-E","LRRN3","NR2F1","ONECUT2","MRAP2","ADAMTS20","AC136431.1","BDNF","","HCN1","","CRHBP","AC011306.1","FSTL5","","EPHA7","AC114284.1","CPLX3","NPSR1","EPHA7","","ADRA1A","","AC005906.2","GLRA1","MYO1F","AOAH","AC122707.1","TMPRSS9","GPR139","DCBLD2","LINC00609","FA2H","MYT1","MYT1"
"SPARCL1","PAMR1","HLA-E","VWF","GRM8","NR2F1-AS1","C8orf34","LRATD1","ZIC2","CPNE9","BMPER","","CNTN5","","AC011306.1","CHRNB3","LINGO2","","TOX2","RAB3A","NPSR1","ARHGEF33","NXPH1","","AC073050.1","","ESRRB","USH2A","SRGN","MYO1F","GCH1","GPR149","GEM","AL136119.1","TF","SHROOM4","PLEKHH2","AMZ1"
"EFEMP1","FGFR3","IFITM2","PECAM1","HTR2A","LINC02698","TFAP2B","KCTD1","AC104689.2","CYP3A5","SV2C","","PLCE1","","AC010967.1","STK26","NFIB","","NRXN3","GPR26","IGF1","SYNDIG1L","ABO","","SV2B","","PAPPA","SLC35F4","CSF1R","CSF1R","GPR149","GCHFR","AC005355.1","LINC02150","CDK18","CNDP1","AMZ1","AC009041.2"
"ATP1A2","ITPKB","PECAM1","IL4R","KCNH1","NWD2","HS3ST4","PALLD","CPNE9","LINC01811","CNGB1","","ZFHX4","","PAPPA","AL450338.2","GRIK2","","EN1","CEND1","ARHGEF33","LINC01508","TAFA1","","HTR1E","","LINC00922","COL23A1","CSF2RA","RASGEF1C","NDNF","PWWP3B","AC016831.1","AC090921.1","FA2H","SYNJ2","KCNMB2","LHFPL3"
"PAMR1","FAM189A2","ENG","A2M","HTR7","LINC02223","AP005230.1","CRHR2","AC007091.1","AC093843.1","LMX1B","","ADCY8","","CHRNB3","AC010967.1","NRXN3","","SLC5A8","AC022893.2","GALNT14","ANKRD33B","GABRG3","","HS3ST4","","SCN1A-AS1","CLEC2L","MEF2C","SYNDIG1","TMPRSS9","AC104984.2","CHRNA7","ABCB11","MYRF","TF","LINC00511","ADAMTS17"
"RGMA","SLC25A18","A2M","IFITM2","LINC01828","KCNK9","MRAP2","IL12RB2","CYP3A5","EGFLAM","CDH12","","TENT5A","","ANO3","SGCD","TRPC4","","PRMT8","ATP6V1G2","ANKRD33B","IGF1","PDZRN4","","PARM1","","PAX5","TRPC7","SLCO2B1","LPAR6","GPC3","MAP3K15","DCBLD2","TACR1","SYNJ2","MYRF","AC023282.1","LINC00511"
"MGST1","ACACB","IL4R","ENG","PLCH1","NPY1R","LMX1B","KCNK2","RASGRP1","LINC01090","AC011995.2","","SLC17A6","","STK26","MBNL3","TMEM132D","","GATA3","ATP6V1F","AC016717.2","RORB","TAFA2","","NFIB","","USH2A","GABRB2","LPAR6","AL163541.1","LINC02082","AMIGO2","LINC02150","AP001977.1","PIEZO2","CDK18","EPN2","EPN2"
"AC114971.1","RGMA","IFI27","IFI44L","LINC02223","NOS1","CRNDE","","LINC01811","ZIC2","SEMA6D","","SPHKAP","","AL450338.2","LINC02306","FRAS1","","LINC01956","ATP5PF","IGSF3","NR2F2","EFNA5","","COL25A1","","CLEC2L","LINC02224","LYN","PLXDC2","AL356737.2","AC105411.1","TXK","GABRE","SHROOM4","LINC00639","MMP16","AC023282.1"
"FGFR3","LRIG1","LEF1","ABCB1","NR2F1","ASXL3","TMEM200A","","ST8SIA2","RASGRP1","GRM1","","LMX1A","","HTR1E","HTR1E","CNTNAP2","","SCN2B","AC008056.1","ASIC4","IGSF3","LINC01956","","SUSD4","","NRP1","LINC02112","PALD1","ST6GAL1","GCHFR","LINC01524","ABCB11","CHRNA7","ANLN","FOLH1","AC009041.2","PDZD2"
"RYR3","SORBS1","IFI44L","GRASP","HAS2-AS1","OLFM3","KCNC2","","LINC01090","ST8SIA2","CACNA2D1","","C8orf34","","SAMSN1","SLC66A1L","NRG1","","MARCH11","MTLN","SYNDIG1L","GREM2","CDH8","","PDZRN4","","CDH13","C2orf16","ST6GAL1","RUNX1","ANGPT1","DNAJC12","TACR3","MET","C10orf90","FAM107B","XYLT1","OPHN1"
