"ambig.lowNTx_1vAll","ambig.lowNTx_pw","Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_noDDC_1vAll","Neuron.5HT_noDDC_pw","Neuron.5HT_pw","Neuron.ambig_A_1vAll","Neuron.ambig_A_pw","Neuron.ambig_B_1vAll","Neuron.ambig_B_pw","Neuron.ambig_C_1vAll","Neuron.ambig_C_pw","Neuron.ambig_D_1vAll","Neuron.ambig_D_pw","Neuron.mixed_A_1vAll","Neuron.mixed_A_pw","Neuron.mixed_B_1vAll","Neuron.mixed_B_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_A_1vAll","Oligo_A_pw","Oligo_B_1vAll","Oligo_B_pw","OPC_1vAll","OPC_pw"
"MT-ND2","","FGFR3","MGST1","ADGRL4","LINC02147","SYT10","","ONECUT1","PALLD","CLMP","LINC02223","LINC01811","HOXB3","AC011287.1","KIAA1211L","LINC01470","CHRNB3","CACNG3","","EN1","","KIT","LINC01508","FSTL5","","DOCK2","DOCK2","NPNT","RORB","","GATA3","TAFA1","","PCED1B","","THSD7B","","GRM1","","RMST","","PGAM1","GOT1","DCBLD2","TACR3","AC012494.1","ATP10B","PIP4K2A","","LINC00511","SMOC1"
"MT-ND3","","AQP4","SLC25A18","ABCG2","ITGA6","ERBB4","","LMX1B","CBLN1","BCL11B","PLEKHA7","AC007091.1","BARHL1","KIAA1211L","SATB2","PAPPA","MBNL3","PAK5","","SSTR2","","IGF1","CPLX3","THSD7B","","MYO1F","SRGN","LINC01997","SLC18A2","","AC104984.2","SEMA3C","","MIR4435-2HG","","PDZRN4","","LUZP2","","SNHG14","","VAMP2","TUBA4A","ACTA2","TACR1","LINC00639","LINC00609","LINC00609","","SMOC1","PLEKHH2"
"HSP90AA1","","AC114971.1","AQP4","A2M","LEF1","CACNA1E","","PALLD","MRAP2","NR2F2-AS1","LINC00923","ST8SIA2","EGFLAM","GCNT4","AC015943.1","ANO3","AC011306.1","DPF3","","ZNF385B","","CPLX3","GALNT14","HS6ST3","","ARHGAP15","ARHGAP15","GCH1","TRHDE","","MAP3K15","DPP6","","GULP1","","SORCS1","","RGS6","","ASIC2","","DYNLT3","CEND1","CHRNA7","NR4A3","SYNJ2","LINC00639","ZEB2","","ADAMTS17","LINC00511"
"","","RGMA","LINC01088","LINC02147","ADGRL4","GRM8","","AP005230.1","CRHR2","LRRN3","NR2F1-AS1","INSRR","LINC02552","MLIP","MLIP","CBLN2","SGCD","AC007405.1","","SOX14","","SYNPR","IGF1","TMEM132D","","SRGN","MYO1F","AC122707.1","SAMD3","","SLC10A4","CDH7","","GHR","","SDK1","","LINC01414","","MYT1L","","EID1","ALDOC","HMCN2","TH","PRR5L","SHROOM4","SLC5A11","","PLEKHH2","AC023282.1"
"","","SLC25A18","PAMR1","ITGA6","A2M","CDH2","","C8orf34","ONECUT1","HTR2A","HUNK","CPNE9","CPNE9","SATB2","AC034268.2","CRHBP","STK26","NFIX","","GATA3","","GALNT14","SYNDIG1L","KCTD16","","CSF1R","LYN","ANGPT1","DACH1","","AL356737.2","SLIT3","","AUTS2","","ZNF385B","","PREX2","","PTPRN2","","RRAGA","EID1","AC005355.1","DBH","SH3TC2","MOG","NCKAP5","","AMZ1","AMZ1"
"","","ATP1A2","NHSL1","FLI1","HLA-E","CACNA2D1","","EBF2","","EBF2","AC092969.1","AC019211.1","LINC01090","MEF2C","AC025887.2","MBNL3","AL110292.1","SV2B","","SERTM1","","ANKRD33B","NPSR1","NRG1","","LYN","CSF1R","TMPRSS9","SGCZ","","GPC3","GULP1","","CACNA2D3","","DGKB","","IQCJ-SCHIP1","","CSMD3","","COX7C","LDHA","ARHGAP36","CHRNA7","LINC00609","FAM107B","C10orf90","","AC023282.1","ADAMTS17"
"","","LINC01088","GFAP","SYNE2","APOLD1","PLCE1","","CRNDE","","MIR4500HG","LINC01828","LINC02232","ZIC2","AC015943.1","NRGN","CHRNB3","PAPPA","CRTAC1","","SFRP1","","ARHGEF33","NR2F2","NRXN3","","LY86","LY86","GPR149","DNAH7","","PWWP3B","STXBP5L","","MAN1A1","","ERC2","","AC107223.1","","RALYL","","INA","ARL6IP5","TACR3","ABCB11","CDK18","PIEZO2","TMEM144","","ARHGAP31","MYT1"
"","","PAMR1","RGMA","APOLD1","SYNE2","TCERG1L","","HS3ST4","","GRM8","NOS1","LINC02552","AC007091.1","AC034268.2","AC011287.1","HTR1E","HTR1E","AC005225.2","","PRR16","","RORB","ARHGEF33","PLEKHA5","","TLR2","TLR2","AC105411.1","PLPPR5","","LINC01997","ARPP21","","MEG8","","GRIP1","","NELL2","","FRMD4A","","TUBB4B","RTL8C","AC016831.1","SCUBE1","CNDP1","DOCK5","ENPP2","","PRRX1","MATN2"
"","","HIF3A","FAM189A2","HLA-E","PRKCH","TOX3","","IL12RB2","","NR2F1-AS1","","AL139351.3","SCN1A-AS1","ITPR1","ITPR1","AC010967.1","AC010967.1","CDH9","","MARCH11","","NPSR1","NPPC","FRAS1","","LPAR6","LPAR6","AL356737.2","PLCB1","","ADRA1B","KCND2","","RGS6","","ZMAT4","","CASC15","","ROBO2","","BEX1","RANBP6","SDK1","AC005355.1","ST18","BCAS1","BCAS1","","UST","EPN2"
"","","SLC6A11","LINC02649","PRKCH","IGFBP7","SAMD3","","MRAP2","","NR2F2","","UST","FGF5","AC013287.1","ATP2B1","SGCD","DACH2","DACH2","","CAMK4","","SYNDIG1L","AL359546.1","CNTNAP2","","RHBDF2","RHBDF2","SLC10A4","KCNQ3","","LINC02607","DPF3","","STPG2","","ADD2","","ERBB4","","CCSER1","","ATP6V1F","ARL4C","FNDC3B","ACTA2","AC079352.1","AC079352.1","PLEKHH1","","MYT1","OPHN1"
